age gender earnings education
29 female 17.077404 16
30 male   22.115385 16
30 male   17.948717 16
30 female 12.019231 14
30 male   11.057693 12
30 male   39.262821 16
30 female 18.812710 18
29 male   14.423077 12
29 female 16.826923 12
30 female 15.384615 13
29 female 15.384615 13
30 male   19.230770 18
30 male   19.230770 12
29 female 16.201923 16
29 female 11.538462 13
30 male    6.976744 12
30 female 20.192308 13
29 male   12.500000 12
30 female  6.250000 12
30 female 13.461538 18
30 female 12.980769 12
29 male   16.826923 14
30 male   29.401709 16
30 male   14.792899 13
30 female 18.750000 13
30 male   25.000000 16
30 male   14.615385 14
30 male    8.222596  9
30 male   19.951923 16
30 female 22.035257 18
29 male   21.449703 13
29 male   13.020833 12
29 female 10.576923 13
30 male   18.491125 14
30 male    3.571429 13
29 male   12.500000 18
29 male    6.875000 12
30 male    4.807693  6
30 male    8.653846 12
29 male    9.951923 16
29 female  6.224696 13
29 male   12.019231 12
30 male   17.320000 16
30 female 10.474038 16
29 female 28.671329 16
29 male    8.653846 13
29 female 16.346153 18
30 male   24.267399 16
29 female 12.019231 13
29 male    3.891941 12
29 female 21.153847 16
29 female 12.019231 18
29 female  5.494505 13
29 female  9.615385 13
29 male   12.500000 14
30 male   24.038462 14
29 male   10.096154 13
30 male   21.367521 13
30 male   10.989011 12
29 male   32.692307 13
30 male    8.974359 16
29 male   16.826923 12
30 female 11.057693 13
29 female  7.932693 12
29 female 20.566238 14
30 male   20.759615 16
30 female 20.673077 13
30 male    8.136095 12
30 male    9.615385 12
29 male   13.461538 12
30 male    9.134615 12
29 male    7.211538 13
29 female  4.326923 13
29 female 18.750000 16
29 female 16.025640 14
29 male   11.538462 16
29 male   21.129808 16
29 male   27.403847 16
29 female  8.603239 16
29 male   14.874519 10
29 male   15.384615 16
30 female  4.307693  6
29 female 14.903846 16
29 female 10.250000 12
30 female 17.788462 13
29 female 26.556776 16
29 male   48.076923 16
29 male   25.961538 14
29 female 20.192308 16
29 male   12.969588 12
29 male   24.358974 13
29 male    9.615385  6
29 male   10.000000 12
29 female  9.615385 12
30 male   19.607843 18
29 female 10.576923 13
30 male   10.059172 16
29 female 20.833334 13
29 female 12.820513 16
30 male   20.192308 16
29 female 11.538462 13
29 male   12.352942 13
29 female  6.258503 13
29 male    8.192788 12
29 male   14.041347 12
29 female 21.049572 16
29 male   10.256411 12
30 female 19.428572 16
29 male   16.722408 18
29 male   15.468227 18
29 male   15.976332 12
29 male   10.038462 12
29 female 16.346153 12
29 male   20.192308 14
29 male   11.730769 16
29 female 14.423077 13
30 male    9.615385 12
29 female  7.500000  8
30 male   16.346153  6
30 male   20.673077 12
29 female 16.826923 14
29 male   11.538462 16
29 male   16.826923 12
30 male   15.271539 12
29 male   17.187500 12
29 female 28.846153 16
29 female  8.653846 11
29 male   10.416667  9
29 female 12.500000 12
29 male   22.115385 14
29 female 29.585798 13
30 male    9.615385 12
29 female  9.558824 16
30 female  3.058824 11
30 male    9.759231 13
30 male    6.730769 12
30 female 12.019231 12
30 male   10.989011 12
29 female 14.903846 12
30 male   10.096154 10
29 female 13.942307 12
29 male   11.904762 13
29 male    9.615385 12
30 male   26.346153 18
29 male    7.692307 12
29 female  2.884615 13
30 female  4.200000 13
30 female 11.538462 13
30 male    6.557693 12
30 female 17.307692 18
30 female 10.576923 13
29 female  9.134615 13
30 female 14.423077 16
30 male   15.109890 14
29 male   15.734265 12
30 male    8.190884 16
29 male    8.653846 12
30 female 10.989011 12
29 male   18.000000 16
30 male    7.812500 13
30 male   20.000000 16
30 male   43.269230 16
30 female 19.230770 16
30 female 14.957265 12
30 male   15.384615 12
29 male   14.423077 16
30 female  5.494505 11
30 male   14.140271 11
29 male   10.714286 14
29 male   25.320513 16
29 female  6.009615 12
29 male    9.134615 12
30 female 20.299145 14
30 male   15.384615 13
29 male   19.580420 13
29 male   14.519231 13
29 female 45.673077 16
29 male   38.461540 18
30 female 20.408163 13
30 male    9.615385 18
29 female 21.978022 16
29 female  8.603239 13
30 male   12.019231 12
30 female 13.461538 16
30 male   26.442308 16
29 male    8.241758 10
30 female  9.615385 12
29 female 11.538462 14
30 male   14.423077 16
30 male   31.250000 16
30 female 31.250000 16
29 male   28.571428 16
30 male   21.634615 12
30 male   31.250000 16
29 male   24.519230 18
29 male   11.057693 12
29 male   12.980769 16
30 male   20.192308 13
30 male    8.173077 16
29 male   14.903846 12
29 female 22.115385 12
29 male   10.439561 13
30 female 13.125000 16
29 male    8.846154  8
30 male   11.057693 16
29 male   26.923077 16
30 female 17.307692 16
30 female  6.750000 12
29 female 13.461538 12
29 male   31.250000 13
29 female 21.634615 13
30 female 15.913462 13
30 male   16.923077 13
29 female 26.041666 13
29 female  7.500000 12
30 female 19.230770 13
29 male   18.269230 13
30 female 16.700405 16
30 male   11.274509 12
30 male   21.978022 12
29 male   10.769231 16
30 male   15.384615 12
29 male   14.423077 13
29 female 16.346153 14
30 male   27.777779 14
29 female 13.461538 13
30 male   32.051281 16
30 male   11.057693 12
30 male   26.442308 12
29 female 16.346153 16
29 male   50.909092 16
30 male   13.247863 12
29 male   10.256411 13
29 male   20.192308 12
29 male   19.230770 18
29 female 19.230770 18
30 male   10.576923 12
30 male   23.076923 16
29 male   20.512821 16
30 male    6.783217 18
30 female 28.846153 18
30 female 24.038462 13
30 female 24.666666 18
30 female 16.586538 18
29 male   12.019231 12
29 male   17.521368 16
30 female 15.384615 13
29 male   23.076923 16
29 female  7.371795 13
30 female  5.341880 16
29 male   17.195673 12
30 male   30.769230 16
30 male   19.230770 18
30 female 11.076923 13
29 male   16.826923 12
30 male   13.736263 13
30 male   16.025640 13
29 female 19.230770 13
30 female 13.221154 14
30 female 22.951923 16
29 male   20.000000 13
30 male   15.000000 12
29 male   13.461538 12
30 female 12.980769 13
30 female 26.442308 16
29 female  9.615385 13
30 male   19.230770 10
30 male   16.239317 16
30 male    9.615385 11
29 male   34.615383 18
30 male   28.846153 16
30 female 16.826923 16
29 male   23.504274 16
29 male   24.038462 18
29 male   16.651031 12
30 male   16.826923 13
29 male   15.384615 18
29 male   19.230770 14
30 male   16.433567 16
30 female  8.173077 14
30 female 21.750000 16
29 female 13.461538 14
30 female 42.307693 14
30 female  3.605769 13
29 male   16.826923 16
29 male   15.461538 13
29 male   13.650962 12
29 female  5.288462  8
30 female 14.423077 12
30 male   25.000000 12
29 female 40.865383 16
30 female 24.038462 12
29 male   22.000000 13
30 female 14.423077 12
30 female  2.747253  9
29 female  6.730769 11
30 female 10.121457 12
29 male    9.391771 16
29 female  6.923077 12
30 male   20.384615 16
29 male   24.038462 13
29 female 17.187500 14
30 female  5.769231  9
30 female  8.288462  6
29 male   18.812710 16
29 male   10.302197 13
30 male   15.000000 13
30 male   14.423077  8
29 male   13.942307 13
30 male   33.653847 14
30 female 12.019231 13
29 female 22.222221 16
30 male   20.192308 12
30 female  9.615385 16
29 male   24.519230 18
30 male   14.423077 12
30 female 11.458333 16
30 female 15.625000 14
30 female 21.978022 13
30 female 10.627530 16
29 female 13.846154 13
29 female 14.423077 13
29 male   15.432693 13
29 female 19.230770 18
30 male    8.284023 16
30 male   10.817307 12
30 female 11.428572 13
30 male    9.245563 12
30 female 12.019231 12
29 male   22.115385  9
30 male   13.942307 12
29 female  7.211538 13
30 male   10.576923 12
30 male   14.423077  9
29 male   56.604168 16
30 male   19.230770 13
30 male   24.038462 14
30 female 17.692308 14
29 male   12.587413 16
29 male   21.367521 12
30 male   24.038462 13
29 male   18.028847 12
29 male   16.483517 13
30 male   10.683761 16
29 male   10.000000  8
29 female 18.269230 13
30 male    9.615385 14
29 male   22.993311 18
29 female 17.307692 18
29 male   26.923077 13
30 male   40.865383 16
29 male   25.510204 12
30 female 26.923077 13
30 male   22.596153 12
30 female  3.846154 12
29 male   33.653847 14
30 male   12.237762 16
30 male   12.980769 12
30 male    2.644231 13
29 male   12.307693 12
30 male   12.750000 18
29 male   16.826923 16
30 male   25.000000 12
29 male   16.826923 16
30 female  6.730769  9
29 male   22.115385 16
29 male    6.593407 11
29 male   19.230770 13
29 male    8.974359 12
29 female 11.100000 13
29 male   15.384615 12
29 female 12.500000 16
29 female 22.893772 16
29 female 17.129328 16
30 male    6.778846 11
30 male   25.000000 16
29 female 11.538462 11
29 female 12.500000 13
30 male   25.641026 13
30 female 11.000000 12
30 male   15.144231 12
30 female 18.750000 12
30 male   14.583333 16
30 male    7.211538 13
30 male   11.025641 13
30 female 11.538462 14
30 female  5.555555 12
29 male   10.024038 11
29 female 12.019231 13
30 female 10.914761 12
29 male   34.920635 12
29 male   13.942307 14
30 female 14.423077 14
30 female  8.947369 12
29 male   12.019231 12
30 female 11.538462 16
30 male    9.615385 12
30 male   16.666666 12
30 female  9.615385 11
29 male   11.538462 12
30 female 16.826923 13
29 male   13.461538 13
29 male   13.247863 12
29 male   12.019231 13
30 male   16.203703 11
29 female  7.500000 14
30 male   19.230770 14
29 male    8.653846  8
29 male   12.820513 14
30 female  8.173077 16
30 female 14.957265 14
30 male   20.192308 14
29 female 19.230770 18
30 female 15.625000 13
30 male   17.156862 12
29 male   16.826923 12
30 male   21.978022 16
30 female 17.548077 16
30 female 10.000000 16
29 male   20.000000 16
30 male   14.957265 16
30 male   39.062500 12
29 female 12.019231 13
30 female 15.384615 16
29 male   17.948717 16
30 male   34.615383 12
29 male   16.346153 10
30 female 23.076923 18
30 female  8.814102 13
30 male   14.423077 18
30 female 15.297203 12
29 male   13.461538 16
30 male   14.423077 12
30 male   14.423077 12
29 male   10.096154 12
29 male   13.701923 16
29 male   31.250000 12
29 male   13.286714 13
30 male   40.865383 16
30 male   38.461540 16
29 male   16.826923 13
30 male   11.538462 12
30 male   19.230770 16
29 male   12.820513 16
30 male   41.958042 16
30 male   10.000000 12
29 female 11.899038 16
30 male   21.978022 16
29 female  5.208333 11
29 male   20.192308 12
30 male   17.320261 12
30 male   74.519234 16
30 male   13.986014 13
29 female 24.038462 13
30 female  9.615385  8
29 male   17.307692 13
29 female 19.230770 16
30 male   42.307693 13
29 female 10.576923 13
30 male   19.658119 16
30 male    9.615385 12
30 male   12.019231 13
30 female 12.019231 12
30 male    7.272727 12
29 female 18.509615 16
29 male    7.211538 12
29 female  7.211538 10
29 female 23.076923 12
30 male    8.069231 12
29 male   11.834319 16
30 male   38.461540 16
29 male   17.701050 12
30 male   10.576923 12
30 female 13.942307 13
30 male   19.230770 12
30 female 24.038462 16
30 female  9.615385 13
29 female 17.980770 18
29 male   36.057693 13
29 female 33.783783 18
29 male   29.807692 13
30 female 12.637362 13
29 male   19.230770 16
30 female  9.134615 12
29 male   16.666666 12
29 male   35.096153 12
30 male   15.548282 16
30 male   19.230770 13
30 male    8.173077 12
30 female  9.230769 13
29 male    9.803922 12
29 male   24.038462 16
29 male   18.269230 12
30 female 16.826923 18
30 male   32.692307 16
30 male   36.057693 13
29 female 13.000000 13
29 male   12.500000 14
30 female 13.675214 12
30 male    8.173077 12
30 male   10.989011 12
30 male    9.615385 12
30 male    6.923077 12
29 male   15.961538 14
29 male   14.022436 13
29 male   13.736263 12
30 female 21.978022 16
30 male   25.000000 16
30 male   14.860140 16
30 male   12.980769 13
30 male   19.230770 13
29 female 25.000000 13
29 male   21.059999 16
29 male    4.166667 16
29 male   46.153847 13
30 male   28.846153 12
29 female 10.937500 12
30 female  9.615385 13
29 male   86.538460 13
29 female 14.687500 16
30 male   24.038462 16
30 female 14.423077 12
30 female  8.653846 13
29 female 28.365385 18
30 male   49.519230 14
29 male   55.288460 18
29 female 12.637362 18
29 male   11.000000 12
29 female  8.547009 13
29 female 21.367521 16
29 male   17.788462 14
29 female 19.230770 12
29 male    7.500000  6
30 female 11.298077 16
29 male   19.230770 12
29 male   13.942307 13
29 female  6.250000  9
29 female  8.653846 12
30 male   10.096154 11
30 female 14.583333 11
29 male   27.243589 12
30 female 14.423077 12
29 female 16.826923 16
29 male   47.115383 18
29 female 19.230770 14
29 male   13.020833 12
29 male   11.538462 16
30 male    9.615385 12
29 female  2.564103 11
30 male   13.621795 13
30 male    8.173077 12
30 male   19.230770 14
30 female 13.354701 13
29 male   20.085470 16
29 female 16.700405 16
29 male   24.038462 13
30 male   14.423077 12
30 female 15.384615 16
29 male    4.430769 12
29 female 13.076923 13
30 female 35.096153 18
29 male   17.948717 16
29 male    9.615385 12
30 female 12.740385 18
30 male   21.634615 13
29 female 11.538462 14
30 female  5.288462 14
30 male   34.615383 12
30 female 10.576923 12
30 male   29.585798 13
30 female 34.134617 18
29 male   27.472527 12
30 male    5.528846 13
30 male   12.087913 12
29 male   11.538462 12
29 female 16.826923 13
29 female 16.746796 16
29 female 19.230770 16
30 female 17.521368 16
29 female  6.730769 12
29 female  9.803922 12
29 female 12.692307 13
29 male   35.714287 12
30 female 15.865385 16
29 male    6.946154 12
29 male   46.153847 18
29 male   10.384615 12
30 male    8.653846 12
29 female  7.984615 12
29 male    9.615385 12
29 female 14.102564 12
30 male    8.653846 13
29 female 11.057693 12
29 male   23.000000 14
30 male    7.692307 13
29 female 25.641026 18
29 male   14.423077 14
29 female 33.653847 16
29 female  5.769231 12
30 female 21.634615 12
30 male   15.865385 16
29 male   19.230770 16
30 male   24.038462 12
30 male   13.461538  8
29 male   19.607843 11
30 male   25.240385 13
29 male   28.846153 13
29 female 20.192308 16
29 male   43.269230 16
30 female 16.941391 16
30 male    9.615385 12
29 female 14.423077 16
29 male   12.500000 12
30 male   17.482517 18
29 female  9.230769 16
30 male   14.529915 14
30 male    5.288462 11
30 male   16.826923 13
29 male   17.094017 12
30 male   11.000000  9
30 male   36.923077 16
29 male   12.019231 12
30 female 16.346153 13
30 female 14.860140 16
29 male    7.692307 12
30 female 33.653847 18
29 male    9.616346 13
29 male   15.384615 12
29 male   15.000000 14
29 male   18.000000 12
30 male   14.957265 12
29 male    9.000000 12
29 female 20.000000 18
29 male   14.182693 12
29 male   17.788462 13
29 male   12.393163 12
30 female  9.890110 12
30 female 26.346153 16
29 female 16.346153 13
29 female 13.574660 18
30 male   15.384615 13
30 male   18.269230 13
29 female 16.666666 16
29 male   10.769231 12
29 male   21.367521 12
30 female 12.019231 13
30 male    5.288462 12
30 male   11.538462 14
29 female 22.459866 16
30 female 15.384615 12
30 male   12.019231 12
30 male   13.942307 12
29 male   15.046538 13
30 male   14.601140 12
30 male   14.423077 13
29 female  5.769231 13
30 male   12.307693 12
30 female 16.346153 13
30 female 17.788462 18
29 male   25.961538 16
30 female 19.658119 16
30 female 18.491125 16
29 male    3.328402 12
30 male    3.328402 12
29 male   11.538462 12
29 male   12.237762 12
30 male   13.690476 12
30 female 21.367521 14
30 male   12.820513 12
30 male   28.846153 16
30 male   12.019231 16
29 female 11.666667 16
29 male   16.346153 12
29 male   24.725275 16
30 female 16.826923 16
30 male   27.884615 12
29 female 12.740385 12
29 male    7.692307 12
29 male   14.182693 13
30 female  6.730769 12
29 female  5.288462 16
30 male   15.865385 12
30 female  4.615385 14
30 female  8.012820 18
30 male   16.346153 16
29 female  9.230769 12
29 female 15.384615 18
29 female 15.384615 16
30 female 17.032967 16
30 male   16.346153 12
30 female 16.239317 12
30 male   18.269230 13
29 male   21.079882 12
29 male    9.615385 12
30 male   14.423077 13
30 female 10.415865 13
30 male   37.115383 13
30 female 14.423077 12
29 female 17.105263 13
30 male   36.057693 13
30 female 26.373627 18
30 female 11.538462 12
30 female 13.461538 12
30 female  8.653846 13
29 female 38.942307 14
29 male   11.538462 12
30 male   11.057693 12
29 male    8.076923 16
30 female  3.846154 14
30 female 15.865385 13
29 male   84.134613 12
29 female 21.978022 16
30 male   19.230770 12
29 female 15.865385 16
30 female 33.284023 18
30 female 10.526316 13
30 male   10.096154 12
29 male    9.348290 13
30 male   82.775917 16
29 male    9.065934 13
29 female 45.673077 18
29 female 15.384615 12
30 male   34.188034 18
29 male   10.000000 12
30 female 12.932693 12
30 male   26.442308 12
30 female 14.423077 13
30 female 19.230770 13
30 female 15.384615 16
29 male   28.846153 12
30 female 13.366827 13
29 female 24.038462 16
29 male   15.865385 12
29 male   21.634615 14
29 male   18.154762 14
30 male   11.446886 12
29 female 20.833334 16
30 male   21.367521 14
30 male   31.250000 13
29 female 24.000000 16
29 female 18.269230 12
29 male   12.019231 12
30 female  7.142857 12
30 male    9.615385 13
29 male   30.064102 12
29 male   15.384615 14
29 male    9.615385 12
29 male    8.153846 12
30 female 16.346153 18
30 female 12.820513 13
29 male   20.979021 14
30 male   97.500000 16
29 female  7.211538  9
29 male   35.164837 12
29 female  8.653846 16
30 male   19.230770 12
30 female  9.340659 12
30 male   16.346153 16
30 female 20.673077 16
30 female 11.217949 16
29 male   17.307692 12
29 female 23.076923 12
30 male   24.038462 16
29 male   36.057693 12
29 female 20.242914 14
30 male   14.423077 13
30 female 40.865383 16
29 male   11.538462 16
30 male    9.615385 18
30 male    7.843137 12
29 male   17.307692 13
30 male    8.741259 12
30 female 20.495951 16
29 male   15.384615 18
30 male   19.951923 13
29 male   12.000000 13
30 female 14.423077 18
29 male   11.538462 13
30 male   24.038462 13
29 male    8.173077  6
30 female 12.980769 13
29 male   25.846153 12
29 female 10.096154 13
30 male   47.003845 12
30 male    3.219697 16
29 male   19.230770 12
30 male    7.500000 11
30 male    7.500000  8
30 male    7.500000 11
30 male   50.961540 16
29 male   26.315790 13
29 female 24.038462 18
29 female 16.000000 12
30 female 32.692307 16
30 male   12.254902 13
29 male   12.820513 11
30 male   31.250000 16
29 male   31.250000 14
30 female  8.750000 18
29 male   16.875000 13
29 male   20.673077 14
30 female 13.461538 16
30 female 11.530488 16
30 female 16.000000 12
30 female 10.149572 16
29 male   12.019231 12
30 male   14.544025 13
30 male   15.384615 18
30 male   21.634615 18
30 male    9.615385 12
30 female 11.000000 16
29 male   14.743589 16
29 male   27.692308 12
30 female 21.153847 16
30 female 15.384615 16
29 female  8.547009 13
30 female 10.627530  9
29 male    8.241758  6
30 female 10.336538 10
30 male    9.568750  9
29 female  6.384615 12
29 male   12.019231 14
29 female  9.134615 14
30 female 14.423077 18
29 female  7.339744 13
30 male    9.114583 12
29 female 14.423077 10
29 male   19.230770 11
29 male   16.025640 16
29 male   12.500000 12
30 male   12.000000 13
29 male   15.701923 11
30 female 24.518269 16
30 male    7.692307  6
29 female 10.324519 13
30 male    9.829060 16
29 male    9.615385 14
30 male    5.769231 12
30 male   27.884615 13
30 female 14.423077 12
30 female  6.593407 12
29 female 27.777779 14
29 female 13.461538 12
30 female 22.307692 12
30 female 23.557692 16
30 female 13.461538  6
29 male   21.634615 13
29 male   29.807692 16
30 male    6.730769 10
29 female  9.615385 10
29 male   36.057693 13
29 male   23.076923 16
29 male   22.395834 16
29 male   17.307692 14
29 male   11.351352 13
30 male   25.000000 12
29 male   11.914893 12
29 female 11.017629 13
30 male   30.769230 16
30 male   10.256411  9
29 male   19.326923 16
30 male   10.856079 12
29 female 14.823718 12
29 female 15.384615 12
30 male   12.087913 12
30 male   12.019231  8
30 male   14.423077 13
29 female 12.500000 14
29 male   13.313609 13
30 female  8.461538 11
30 female 17.307692 16
29 female 11.057693 12
30 male    6.593407 12
29 female 19.230770 18
29 male   26.442308 18
29 female  9.230769 16
29 male   15.384615 14
29 male   12.820513 14
29 male    9.615385 12
29 male   13.942307 13
30 male    7.500000  8
29 male    6.250000 13
30 male    8.173077 12
29 female 17.521368 16
29 male   28.846153 14
29 male   20.192308 13
29 male   11.057693 16
29 male    7.692307 12
30 male   16.987179 14
30 male   10.230769 13
29 male   16.826923 12
29 male   12.500000 12
30 male   25.961538 13
30 female  6.730769  6
29 male   16.346153 10
29 male   19.230770 18
29 female 15.384615 16
29 female 18.626373 14
29 male   26.442308 12
30 female 12.500000 13
29 male    7.211538 14
30 female  7.211538 13
30 male    8.170513 12
29 female 14.423077 16
29 male    7.692307  6
29 male    8.653846  6
29 male   14.957265 16
29 female 19.230770 16
30 female  7.766272 12
29 female  6.868132 12
30 male   26.442308 12
29 male   19.230770 16
30 female  5.769231 12
30 male    7.211538 12
30 female  9.500000 11
30 male   16.826923 12
30 female  9.615385 12
29 male   27.097902 16
29 female  9.615385 16
30 female  7.211538 12
29 female 12.019231 12
30 male   13.197115  6
29 male   25.000000 16
30 female 14.903846 12
29 male   14.423077 16
29 male   20.000000 12
29 male   12.019231 12
30 female  9.935898 12
30 male   21.153847 18
29 female 18.269230 12
30 female 16.826923 14
29 male   38.461540 16
29 male    8.012820  9
30 female 10.769231 12
30 male   17.307692 16
30 female 11.538462 13
30 male   17.307692 13
29 female 10.336538 12
30 female  6.730769 12
30 male   21.367521 18
30 female 16.826923 16
29 male    5.982906  9
29 female 14.230769 16
29 male    9.615385 12
30 female 10.416667 12
30 male   15.384615 12
29 male   48.557693 13
30 female 26.442308 18
29 female 16.826923 12
29 female 17.620192 16
30 male   12.307693 14
29 male   16.826923 16
30 male   24.038462 16
30 female 14.102564 16
29 male   15.034965 14
29 male   21.634615 12
29 male   29.807692 16
30 female  9.134615 14
29 female  6.730769 13
29 female  4.120879 16
29 male    4.807693 16
30 male   13.900000 12
30 male   27.262020 12
30 female 36.057693 16
29 male    9.615385 16
29 male    7.211538 12
30 male   14.423077 12
29 male   15.170940 13
30 male    9.615385 11
29 male   12.307693 16
30 female 16.826923 18
29 female  9.134615 11
29 female 13.461538 16
30 male   19.230770 16
29 male   20.512821 13
30 female  8.173077 14
30 female 14.423077 13
30 male   11.805555 12
29 male   12.307693 13
29 male    6.250000 12
30 male   10.096154 13
30 female 15.769231 18
30 male   27.403847 14
29 male   13.461538 11
30 male   18.269230 16
29 female 25.641026 16
29 male   19.230770 12
29 female 13.899038 13
29 male   20.673077 12
29 male   52.163460 16
30 male   14.615385 18
29 male   14.423077 12
29 male    9.615385 16
30 male   21.634615 12
29 male   26.442308 14
29 male   23.076923 16
30 male   38.461540 18
29 male   10.576923 10
30 female 22.649572 16
29 male   14.053254 14
30 female 18.269230 16
29 male    8.461538 12
29 female 10.576923 13
29 female 13.247863 12
29 female 12.500000 16
30 male   19.230770 16
30 male   21.634615 12
30 female 15.384615 16
30 female 22.115385 16
29 female 16.826923 18
30 male   30.000000 16
29 male   20.000000 16
30 female 28.846153 16
30 male   10.256411 16
29 female  9.615385 14
30 female  7.548077 16
30 male   26.442308 12
29 male   15.307693 16
29 female 10.096154 16
29 male   12.115385 12
29 male    7.250000  6
29 male   10.096154 13
30 male    9.615385 13
30 male   16.826923 12
29 female 12.500000 12
30 male   16.346153 12
30 male   16.826923 16
30 male   15.384615 12
30 female 16.105770 12
30 male   17.307692 16
29 female 15.384615 16
29 male   19.230770 12
29 female 66.784134 16
30 male   14.423077 13
29 female 13.942307 16
29 male   16.240000 13
29 male    6.250000  9
30 male    8.653846  9
30 male    7.982584 16
29 male   24.038462 12
30 male   33.653847 16
29 male   28.846153 11
29 female 11.538462 16
29 male   23.076923 13
29 female 11.015865 18
29 male   11.538462 12
30 female 12.500000 13
29 male   15.000000 16
29 male   19.230770 13
30 male   23.076923 13
29 male   15.224359 12
29 male   11.884266 12
29 female 17.307692 12
29 male   12.500000 18
29 female 10.576923 12
30 female 25.480770 16
30 female 14.423077 14
29 male   16.826923 13
30 female 11.111111 16
30 female  9.615385 12
29 male   10.384615 16
30 female 10.769231 16
30 male   14.687500 16
29 male   19.711538 12
29 male   11.538462 13
30 male   14.423077 12
29 male    9.401710 14
30 male   21.634615 12
30 male   15.000000 12
30 male   11.000000 12
29 female 22.000000 16
30 male   16.826923 14
30 female 16.826923 16
30 female 17.788462 13
29 female  9.081197 13
30 female  9.615385 11
30 male   14.423077 12
30 female  7.211538 12
30 male   16.826923 12
30 female 11.057693 16
30 female  6.730769 12
30 female 10.576923 12
29 male   24.038462 16
30 male   38.942307 16
29 male   10.625000 12
29 female 11.538462 12
30 male   17.307692 12
30 female 12.115385 14
30 male   32.066345 13
29 male   14.423077 12
29 female 16.346153 16
30 female 31.730770 13
30 female 11.538462 13
30 female  9.615385 14
30 male   10.989011 16
29 female 14.529915 16
30 male   34.615383 12
29 male   31.250000 14
30 male   19.871796 13
30 male   40.598289 13
29 male   24.038462 14
29 female 11.557693 11
30 female 14.423077 12
30 male    9.615385  9
30 female 19.230770 13
30 female  8.173077 10
30 male    7.211538 12
30 male   20.000000 12
29 male    7.211538 11
30 female 41.538460 14
29 female  7.211538 13
29 male   25.961538 13
29 male    7.500000  6
29 male   16.826923 12
29 male   15.384615 13
29 male    9.635417 13
29 male   20.146521 16
29 female  2.884615 13
30 male    9.134615 12
29 male   16.483517 12
30 female  9.545455 16
29 female 13.461538 12
30 male   17.307692 13
30 male   12.980769 12
29 male   16.826923 16
29 male   15.384615 13
30 female 23.076923 16
30 male   34.615383 18
29 male    8.173077 13
30 male   12.500000 13
29 male   15.196078 13
30 male    5.208333 13
30 male   10.925000 12
29 male   13.942307 12
29 male   11.538462 12
30 male   14.211538 14
30 male    9.615385 12
30 female 16.346153 12
30 male    5.769231  6
30 male   10.576923 14
30 male    7.211538 13
30 male   21.153847 12
29 female 11.538462 11
30 male    2.403846 11
29 male   11.923077 13
30 female 16.239317 16
29 female 39.215687 16
29 male   76.923080 14
30 male   14.423077 13
29 female  8.119781 16
29 female 18.750000 16
30 male   32.211540 16
29 male   22.115385 14
29 male    9.134615 13
30 male    9.615385 13
30 female 12.019231 13
30 male    6.250000 12
30 male   21.394230 18
29 male    9.230769 13
29 male    8.653846 12
